,lat,lng,Temp,Humidity,Cloudiness,Wind_Speed,City,Country
0,5.4112,100.3354,78.78,89.0,20.0,4.74,georgetown,sh
1,-33.0153,27.9116,68.11,68.0,100.0,9.31,east london,za
2,-3.7728,-61.6442,76.86,93.0,82.0,2.84,anori,br
3,57.79,-152.4072,42.8,75.0,90.0,10.36,kodiak,us
4,-33.9258,18.4232,60.37,94.0,20.0,8.05,cape town,za
5,24.4667,54.3667,85.77,32.0,0.0,1.14,abu dhabi,ae
6,22.0752,-159.319,77.56,69.0,20.0,12.66,kapaa,us
7,-34.5322,20.0403,55.4,94.0,100.0,4.61,bredasdorp,za
8,65.4167,-52.9,40.39,81.0,100.0,10.07,maniitsoq,gl
9,-54.8,-68.3,51.8,66.0,40.0,14.97,ushuaia,ar
10,-13.8483,136.4192,75.2,100.0,87.0,10.0,alyangula,au
11,42.6001,-73.9662,56.07,47.0,88.0,1.01,albany,au
12,3.0707,172.7902,82.81,74.0,15.0,12.08,butaritari,ki
13,-33.0117,17.9442,60.8,88.0,81.0,5.75,saldanha,za
14,-10.3608,-37.7011,72.09,90.0,22.0,6.87,carira,br
15,38.7992,-9.4469,62.6,88.0,20.0,4.61,colares,pt
16,-33.65,115.3333,51.24,97.0,100.0,4.85,busselton,au
17,33.194,-82.5271,74.44,50.0,75.0,5.75,avera,pf
18,-20.3428,57.7575,76.05,94.0,40.0,10.36,bambous virieux,mu
20,-8.145,159.5921,83.35,76.0,21.0,1.36,buala,sb
21,38.5167,-28.7,62.6,67.0,20.0,3.44,ribeira grande,pt
22,32.6667,-17.1,56.59,86.0,58.0,5.99,ponta do sol,cv
23,-0.115,-51.2894,80.6,89.0,75.0,4.61,mazagao,br
26,64.5011,-165.4064,41.56,70.0,1.0,3.44,nome,us
27,70.6333,147.9167,21.02,94.0,100.0,13.98,chokurdakh,ru
28,59.7,150.1667,18.86,68.0,25.0,5.66,arman,ru
30,-42.7826,147.0587,54.0,77.0,98.0,3.0,new norfolk,au
31,41.3712,-73.414,56.61,58.0,90.0,11.5,bethel,us
32,-46.1927,168.8643,48.0,78.0,75.0,14.0,mataura,pf
33,-46.6,168.3333,48.0,78.0,78.0,14.0,bluff,nz
34,31.6725,38.6637,77.0,25.0,0.0,6.91,turayf,sa
35,39.05,-27.9833,59.22,82.0,99.0,12.66,lagoa,pt
36,-33.5906,26.891,70.09,61.0,100.0,12.93,port alfred,za
37,-21.2078,-159.775,82.4,78.0,75.0,9.22,avarua,ck
39,20.5022,-10.0711,85.12,18.0,39.0,11.68,adrar,dz
40,21.2833,-88.2667,90.86,46.0,51.0,17.58,panaba,mx
41,-53.15,-70.9167,55.2,67.0,75.0,16.11,punta arenas,cl
45,-3.9014,-38.3911,82.78,78.0,0.0,6.91,aquiraz,br
46,62.456,-114.3525,9.01,66.0,90.0,12.66,yellowknife,ca
47,-23.1203,-134.9692,78.13,74.0,98.0,7.83,rikitea,pf
48,-20.4081,57.7,75.2,94.0,40.0,10.36,mahebourg,mu
49,-0.9492,100.3543,77.41,85.0,83.0,3.56,padang,id
50,42.097,-79.2353,43.32,70.0,90.0,10.36,jamestown,sh
54,5.3505,48.5268,83.98,64.0,56.0,10.18,hobyo,so
55,-42.8794,147.3294,56.48,58.0,75.0,9.22,hobart,au
56,-37.6167,-73.65,56.82,86.0,0.0,10.96,lebu,cl
57,46.6166,10.7002,50.22,61.0,0.0,3.44,lasa,cn
59,69.4541,-133.0374,12.2,79.0,90.0,10.36,tuktoyaktuk,ca
60,57.0531,-135.33,57.2,33.0,20.0,3.44,sitka,us
